text,category,priority
"Cold storage facility damaged and not repaired",Agriculture Department,Medium
"Agricultural loan not processed in time",Agriculture Department,Medium
"Traffic signal malfunctioning at the junction",Transport Department,Medium
"Illegal parking causing heavy traffic jams",Transport Department,Medium
"Bus route cancelled without announcement",Transport Department,Medium
"Auto-rickshaw overcharging passengers",Transport Department,Medium
"No bus service to rural area after 8pm",Transport Department,High
"Road accident hotspot not fixed",Transport Department,High
"CCTV cameras not working at busy junction",Transport Department,Medium
"Speed limit violation by trucks in school zone",Transport Department,High
"No zebra crossing near school gate",Transport Department,Medium
"City bus in very poor condition",Transport Department,Medium
"Widow pension not received for months",Social Welfare,High
"Disabled person benefits denied without reason",Social Welfare,High
"Old age home facilities are very poor",Social Welfare,Medium
"Ration shop not distributing food properly",Social Welfare,High
"Child labour seen in nearby factory",Social Welfare,High
"BPL card wrongly given to rich family",Social Welfare,Medium
"Domestic violence case not addressed",Social Welfare,High
"Orphan child welfare not looked after",Social Welfare,Medium
"Social welfare scheme benefits not reaching poor",Social Welfare,High
"MNREGA workers not paid for completed work",Social Welfare,High
"Chain snatching in market area",Police,High
"Alcohol being sold illegally near school",Police,High
"Fight near locality creating disturbance",Police,Medium
"Drug peddling noticed at bus stand",Police,High
"Theft at residence not registered as FIR",Police,High
"Eve teasing and harassment not stopped",Police,High
"Mob gathering causing law and order issue",Police,High
"Gambling den operating openly in locality",Police,Medium
"Missing person complaint not taken seriously",Police,High
"Police not responding to emergency calls",Police,High
"Property tax record not updated after payment",Revenue Department,Medium
"Land record shows wrong owner name",Revenue Department,High
"Mutation of property not done after purchase",Revenue Department,Medium
"Encroachment on government land not removed",Revenue Department,High
"Delay in birth certificate issuance",Revenue Department,Low
"Ration card not made despite application",Revenue Department,Medium
"Caste certificate rejected without valid reason",Revenue Department,Medium
"Death certificate delayed for months",Revenue Department,Low
"Government office remains closed during hours",Revenue Department,Medium
"Clerk demanding extra fee for document verify",Revenue Department,High
"Illegal tree cutting in forest area",Forest Department,High
"Wildlife poaching reported near reserve",Forest Department,High
"Forest fire not controlled near village",Forest Department,High
"Mining happening illegally in forest zone",Forest Department,High
"Encroachment in forest land for agriculture",Forest Department,Medium
"Sand mining from river destroying ecology",Forest Department,High
"Stray elephants entering village at night",Forest Department,High
"Rare bird nest destroyed by construction",Forest Department,Medium
"Forest department not planting trees as planned",Forest Department,Low
"Deforestation near water reservoir",Forest Department,High
